,activity_id,institution_id,source_id,experiment_id,member_id,timescale,variable_id,method,downscaled_daily_data_uri,version
0,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
1,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
2,CMIP,CCCma,CanESM5,historical,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.GARD-SV.pr.zarr,v1
3,CMIP,CCCma,CanESM5,historical,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
4,CMIP,CCCma,CanESM5,historical,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.CCCma.CanESM5.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
5,CMIP,MIROC,MIROC6,historical,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MIROC.MIROC6.historical.r1i1p1f1.day.GARD-SV.pr.zarr,v1
6,CMIP,MIROC,MIROC6,historical,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MIROC.MIROC6.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
7,CMIP,MIROC,MIROC6,historical,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MIROC.MIROC6.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
8,CMIP,MPI-M,MPI-ESM1-2-HR,historical,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MPI-M.MPI-ESM1-2-HR.historical.r1i1p1f1.day.GARD-SV.pr.zarr,v1
9,CMIP,MPI-M,MPI-ESM1-2-HR,historical,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MPI-M.MPI-ESM1-2-HR.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
10,CMIP,MPI-M,MPI-ESM1-2-HR,historical,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MPI-M.MPI-ESM1-2-HR.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
11,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.GARD-SV.pr.zarr,v1
12,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
13,CMIP,MRI,MRI-ESM2-0,historical,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
14,ScenarioMIP,BCC,BCC-CSM2-MR,ssp245,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.BCC.BCC-CSM2-MR.ssp245.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
15,ScenarioMIP,BCC,BCC-CSM2-MR,ssp245,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.BCC.BCC-CSM2-MR.ssp245.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
16,ScenarioMIP,BCC,BCC-CSM2-MR,ssp370,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.BCC.BCC-CSM2-MR.ssp370.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
17,ScenarioMIP,BCC,BCC-CSM2-MR,ssp370,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.BCC.BCC-CSM2-MR.ssp370.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
18,ScenarioMIP,CCCma,CanESM5,ssp245,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.GARD-SV.pr.zarr,v1
19,ScenarioMIP,CCCma,CanESM5,ssp245,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
20,ScenarioMIP,CCCma,CanESM5,ssp245,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
21,ScenarioMIP,CCCma,CanESM5,ssp370,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.GARD-SV.pr.zarr,v1
22,ScenarioMIP,CCCma,CanESM5,ssp370,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
23,ScenarioMIP,CCCma,CanESM5,ssp370,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
24,ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp245,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.day.GARD-SV.pr.zarr,v1
25,ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp245,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
26,ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp245,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp245.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
27,ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp370,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp370.r1i1p1f1.day.GARD-SV.pr.zarr,v1
28,ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp370,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp370.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
29,ScenarioMIP,DKRZ,MPI-ESM1-2-HR,ssp370,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp370.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
30,ScenarioMIP,MIROC,MIROC6,ssp245,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.MIROC.MIROC6.ssp245.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
31,ScenarioMIP,MIROC,MIROC6,ssp245,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.MIROC.MIROC6.ssp245.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
32,ScenarioMIP,MIROC,MIROC6,ssp370,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.MIROC.MIROC6.ssp370.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
33,ScenarioMIP,MIROC,MIROC6,ssp370,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.MIROC.MIROC6.ssp370.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
34,ScenarioMIP,MRI,MRI-ESM2-0,ssp245,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.GARD-SV.pr.zarr,v1
35,ScenarioMIP,MRI,MRI-ESM2-0,ssp245,r1i1p1f1,day,tasmax,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.GARD-SV.tasmax.zarr,v1
36,ScenarioMIP,MRI,MRI-ESM2-0,ssp245,r1i1p1f1,day,tasmin,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.GARD-SV.tasmin.zarr,v1
37,ScenarioMIP,MRI,MRI-ESM2-0,ssp370,r1i1p1f1,day,pr,GARD-SV,https://cpdataeuwest.blob.core.windows.net/cp-cmip/version1/data/GARD-SV/ScenarioMIP.MRI.MRI-ESM2-0.ssp370.r1i1p1f1.day.GARD-SV.pr.zarr,v1
